"","activity_type","date","favorite","distance","calories","time","avg_hr","max_hr","aerobic_te","avg_run_cadence","max_run_cadence","avg_pace","best_pace","total_ascent","total_descent","avg_stride_length","avg_vertical_ratio","avg_vertical_oscillation","avg_ground_contact_time","avg_gct_balance","training_stress_score","avg_power","max_power","grit","flow","total_strokes","avg_swolf","avg_stroke_rate","total_reps","total_sets","dive_time","min_temp","surface_interval","decompression","best_lap_time","number_of_laps","max_temp","moving_time","elapsed_time","min_elevation","max_elevation"
"30","Running","2022-12-31 08:54:31","false","3.26","331","00:39:05",141,164,"2.4","147","175","12:00","7:46","95","89",0.91,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",62.6,"0:00","No","00:02:52.6",4,71.6,"00:38:57","00:39:22","2,885","2,934"
"31","Treadmill Running","2022-12-30 06:48:51","false","3.00","284","00:35:41",134,157,"2.3","152","227","11:54","5:38","--","--",0.87,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",71.6,"0:00","No","00:10:29",3,77,"00:35:19","00:35:41","--","--"
"32","Treadmill Running","2022-12-29 06:53:43","false","3.51","346","00:43:53",137,165,"2.4","147","219","12:30","7:54","--","--",0.93,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:08:21.4",4,77,"00:43:22","00:43:53","--","--"
"33","Strength Training","2022-12-28 07:45:27","false","0.00","69","00:09:25.7",125,150,"0.9","--","--","--","--","--","--",0,0,0,0,"--",0,0,0,0,0,"--",0,0,5,"1","0:00",73.4,"0:00","No","00:09:25.7",1,80.6,"00:09:25.7","00:09:25.7","--","--"
"34","Treadmill Running","2022-12-28 07:10:35","false","3.09","295","00:33:08",141,164,"2.8","153","173","10:44","7:28","--","--",0.98,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:00:39.3",4,78.8,"00:33:00","00:33:08","--","--"
"35","Running","2022-12-26 09:09:58","false","2.65","283","00:28:49",151,161,"2.8","153","249","10:53","7:34","66","72",0.96,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",62.6,"0:00","No","00:07:15.0",3,69.8,"00:28:44","00:28:49","2,883","2,917"
"36","Walking","2022-12-25 09:12:13","false","1.17","112","00:20:33",110,158,"0.5","110","123","17:32","15:32","26","33",0.83,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",64.4,"0:00","No","00:02:57.8",2,73.4,"00:20:33","00:20:33","2,898","2,932"
"37","Running","2022-12-25 09:02:08","false","1.01","98","00:09:29.2",152,172,"2.3","165","171","9:25","8:04","30","33",1.03,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",64.4,"0:00","No","00:00:02.1",2,73.4,"00:09:29","00:09:29.2","2,912","2,946"
"38","Other","2022-12-20 08:28:22","false","2.37","253","00:52:04",113,154,"1.4","88","227","2.7","4.8","440","410",0.83,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",62.6,"0:00","No","00:52:04",1,77,"00:52:04","00:52:04","3,508","3,880"
"39","Cardio","2022-12-18 12:36:47","false","0.00","184","00:32:25",114,169,"1.8","--","--","--","--","--","--",0,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",66.2,"0:00","No","00:32:25",1,77,"00:00:00","00:32:25","1,038","1,047"
"40","Running","2022-12-13 01:02:39","false","1.11","115","00:13:18",137,155,"2.1","142","166","12:02","9:15","7","7",0.95,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",71.6,"0:00","No","00:01:37.9",2,78.8,"00:13:17","00:13:18","1,010","1,020"
"41","Other","2022-11-26 08:34:33","false","6.16","863","02:39:20",123,172,"3.1","81","243","2.3","4.5","1,772","1,529",0.77,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",60.8,"0:00","No","02:39:20",1,78.8,"02:23:34","02:39:20","3,182","4,772"
"42","Running","2022-11-24 08:19:25","false","2.00","179","00:19:58",141,159,"2.5","160","170","9:58","8:11","52","56",1.01,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",64.4,"0:00","No","00:00:01.7",3,71.6,"00:19:58","00:22:11","2,115","2,149"
"43","Other","2022-11-19 08:22:30","false","3.53","316","01:10:40",111,149,"1.3","105","249","3.0","4.8","614","610",0.77,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",60.8,"0:00","No","01:10:40",1,80.6,"01:07:12","01:10:40","3,150","3,748"
"44","Strength Training","2022-11-08 07:06:47","false","0.00","144","00:32:06",105,136,"0.7","--","--","--","--","--","--",0,0,0,0,"--",0,0,0,0,0,"--",0,0,7,"1","0:00",75.2,"0:00","No","00:32:06",1,78.8,"00:32:06","00:32:06","--","--"
"45","Strength Training","2022-11-06 07:54:53","false","0.00","129","00:41:45",91,139,"0.3","--","--","--","--","--","--",0,0,0,0,"--",0,0,0,0,0,"--",0,0,4,"1","0:00",73.4,"0:00","No","00:41:45",1,77,"00:41:44","00:41:49","--","--"
"46","Running","2022-11-05 08:05:08","false","6.28","654","01:08:48",152,169,"3.5","161","174","10:57","8:56","312","308",0.91,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",59,"0:00","No","00:02:47.5",7,71.6,"01:08:41","01:08:48","1,736","2,375"
"47","Treadmill Running","2022-11-03 07:24:04","false","2.25","179","00:24:36",129,137,"1.7","162","166","10:55","10:23","--","--",0.91,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",69.8,"0:00","No","00:02:45.0",3,75.2,"00:24:35","00:24:36","--","--"
"48","Treadmill Running","2022-10-31 07:19:15","false","3.01","257","00:31:40",136,157,"2.4","160","227","10:32","6:22","--","--",0.96,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:00:02.0",4,77,"00:31:31","00:31:40","--","--"
"49","Walking","2022-10-30 14:35:44","false","2.03","186","00:33:52",100,111,"0.8","109","121","16:41","13:37","59","46",0.89,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:00:01.7",5,89.6,"00:33:49","00:33:52","1,583","1,612"
"50","Running","2022-10-29 07:46:03","false","4.00","400","00:44:27",142,170,"3.0","161","173","11:06","9:22","82","92",0.9,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",62.6,"0:00","No","00:00:01.1",5,71.6,"00:44:25","00:44:27","1,598","1,646"
"51","Treadmill Running","2022-10-28 07:22:34","false","2.76","240","00:29:19",137,160,"2.4","162","177","10:37","7:54","--","--",0.87,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:05:51.4",3,77,"00:29:11","00:29:19","--","--"
"52","Treadmill Running","2022-10-24 07:19:23","false","2.03","170","00:24:09",127,141,"1.7","159","166","11:53","11:16","--","--",0.85,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:00:21.7",3,77,"00:24:08","00:24:09","--","--"
"53","Running","2022-10-22 08:10:19","false","8.01","737","01:43:09",133,152,"2.5","144","249","12:53","7:51","404","394",0.87,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:00:01.6",9,80.6,"01:42:47","01:43:09","1,726","2,047"
"54","Treadmill Running","2022-10-21 07:08:14","false","5.00","451","00:56:40",138,158,"2.9","160","172","11:20","9:35","--","--",0.88,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:09:59.5",5,78.8,"00:56:38","00:56:40","--","--"
"55","Treadmill Running","2022-10-19 07:27:44","false","3.00","266","00:34:55",133,156,"2.3","158","217","11:38","9:04","--","--",0.87,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:10:52",3,78.8,"00:34:55","00:34:55","--","--"
"56","Treadmill Running","2022-10-17 07:13:45","false","3.01","272","00:37:17",132,146,"2.1","161","166","12:23","11:06","--","--",0.81,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:00:02.5",4,77,"00:37:11","00:37:17","--","--"
